user_id,movie_id,rating,timestamp
1,22,3,1609161408
1,11,3,1602042999
1,1,3,1601935740
1,21,3,1603434955
1,41,3,1603763122
1,15,2,1604421590
1,20,2,1604427036
1,24,3,1601718224
1,25,3,1606440010
1,4,3,1608674163
1,19,4,1609309205
1,5,2,1603722946
1,34,2,1607552975
1,33,3,1608123236
1,23,1,1603340216
1,26,3,1603833284
1,45,3,1607586725
2,10,2,1607594378
2,22,3,1604354385
2,2,2,1608777198
2,38,2,1603210016
2,5,2,1606737320
2,11,3,1605973544
2,33,2,1605282379
2,31,4,1609734816
2,6,2,1604530889
2,9,2,1602049949
2,13,2,1608388512
2,4,2,1607654502
2,23,4,1603882149
2,45,3,1604845710
2,1,2,1604000737
2,44,4,1607258746
2,19,2,1601443717
2,30,3,1609594271
2,28,3,1608421928
2,26,4,1601308507
2,42,3,1604066621
2,32,4,1600100734
3,30,2,1602605214
3,43,3,1609384451
3,24,3,1604188891
3,44,2,1604225889
3,1,4,1609852415
3,7,3,1609479413
3,40,4,1604443778
3,36,3,1606086368
3,10,4,1604214279
3,15,3,1607537165
3,9,2,1603850241
3,21,3,1600388076
3,5,4,1604884797
3,17,3,1605540070
4,40,3,1603622138
4,7,2,1608061896
4,30,2,1602843940
4,19,3,1601208052
4,41,2,1607500960
4,27,3,1609685684
4,18,3,1601180887
4,13,2,1609443754
4,42,4,1602428081
5,30,2,1600721384
5,19,3,1608908385
5,40,2,1602887698
5,44,1,1602432593
5,7,2,1607357804
5,31,4,1606133066
5,6,2,1602736582
5,37,2,1607956056
5,2,4,1601961977
5,28,2,1607049926
5,9,2,1606978140
5,13,3,1609268720
5,35,2,1604828426
5,3,3,1608100706
5,42,4,1606579137
5,33,2,1601912584
5,4,4,1600747419
5,14,3,1609468532
5,34,3,1600571107
6,45,2,1606048055
6,32,3,1608544291
6,24,3,1604730741
6,38,3,1601906039
6,5,3,1601455465
6,30,2,1606516616
6,12,4,1603329049
6,37,2,1603746169
6,7,1,1606002296
6,9,2,1605494339
6,18,2,1605877809
6,17,3,1604021080
6,1,2,1607667857
6,31,2,1608889782
6,29,2,1602881777
6,41,2,1608899691
6,27,2,1601012384
6,10,2,1600863663
6,26,3,1605783182
6,8,3,1605334538
6,3,2,1606349449
6,35,3,1602891005
7,15,3,1600780641
7,40,1,1602551331
7,28,2,1603127748
7,37,3,1607365624
7,38,3,1602883791
7,23,2,1606416438
7,14,2,1609694095
7,25,3,1601147116
7,42,2,1603772763
8,31,1,1603898606
8,15,4,1602878117
8,17,2,1605287913
8,45,2,1603733149
8,35,3,1604488198
8,26,3,1609515406
8,29,3,1604115362
8,41,4,1601252557
8,37,2,1609311768
8,34,2,1604057025
8,10,3,1603368045
8,7,4,1605185773
8,25,3,1600968616
8,3,3,1604217733
8,11,2,1607585159
9,30,4,1606314768
9,22,2,1608064220
9,34,1,1601544613
9,33,2,1602430525
9,8,2,1607439103
9,1,3,1600288859
9,42,2,1605008341
9,17,3,1608982913
9,41,4,1604257341
10,14,2,1602711793
10,19,1,1602319124
10,24,3,1602518970
10,27,2,1603889877
10,12,3,1601055675
10,7,4,1606016854
10,29,2,1602161088
10,45,2,1608018006
10,41,1,1600487510
10,40,4,1606354986
10,43,3,1601673879
10,6,2,1601780752
10,22,3,1608791690
11,24,3,1606154512
11,1,3,1608181883
11,45,3,1608306681
11,40,4,1601750740
11,13,3,1600863403
11,27,4,1605495671
11,44,2,1600978836
11,21,3,1608568438
11,16,2,1601556518
11,6,3,1607880317
11,35,2,1609254791
11,33,3,1603895958
11,11,3,1607076042
11,12,4,1602120539
11,22,2,1600880412
11,41,2,1607319764
11,37,3,1608706483
11,26,2,1608359922
11,20,3,1609614742
11,29,3,1601599908
11,14,3,1602164412
11,23,3,1601984117
12,19,3,1604742297
12,18,2,1601312743
12,23,3,1607420105
12,36,2,1605276728
12,11,3,1604101036
12,6,3,1602165251
12,40,1,1609866460
12,29,2,1607983439
12,43,2,1608874883
12,31,2,1607356061
12,15,3,1601294929
12,38,3,1607711634
12,26,3,1609285424
12,22,2,1600443031
13,43,2,1607028722
13,29,3,1601877971
13,40,1,1607997488
13,32,3,1602866757
13,21,3,1609725529
13,8,2,1601577969
13,39,2,1603651387
13,24,2,1603212883
13,45,2,1603028631
13,23,1,1606423959
13,25,3,1606984297
13,1,2,1603801250
13,22,2,1609340854
13,13,3,1600486799
13,3,3,1606810805
13,2,3,1600566088
13,10,2,1606558947
13,5,1,1602092101
13,35,4,1605995134
13,9,3,1606208714
14,16,2,1601379904
14,36,2,1600538645
14,22,2,1609960559
14,40,3,1606911855
14,41,3,1606550091
14,11,3,1607370683
14,35,2,1602167354
14,6,3,1604818750
14,30,3,1604991536
14,34,2,1602765331
14,20,2,1608070297
14,27,4,1609967246
14,2,3,1607543159
14,15,3,1606285939
14,13,2,1606816525
14,8,3,1602639929
14,32,2,1603133211
14,33,3,1605071915
14,45,3,1600443945
14,10,2,1602276787
14,4,4,1607690840
14,28,3,1601274634
15,29,3,1600578688
15,45,3,1607983372
15,26,3,1608127747
15,30,3,1604990488
